number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_learning_rate,state
68,0.8383838534355164,2024-09-12 08:48:50.914280,2024-09-12 08:51:44.442382,0 days 00:02:53.528102,20,0.3,45,0.002546966930782374,COMPLETE
69,0.8646464943885803,2024-09-12 08:51:44.443377,2024-09-12 08:54:35.136438,0 days 00:02:50.693061,28,0.2,49,0.0011132192000078203,COMPLETE
70,0.8141414523124695,2024-09-12 08:54:35.136438,2024-09-12 08:57:28.041176,0 days 00:02:52.904738,24,0.2,50,0.0003208108444507804,COMPLETE
71,0.8696970343589783,2024-09-12 08:57:28.042173,2024-09-12 09:00:18.718747,0 days 00:02:50.676574,28,0.2,48,0.0011968349641209841,COMPLETE
72,0.8606060743331909,2024-09-12 09:00:18.718747,2024-09-12 09:03:09.515877,0 days 00:02:50.797130,28,0.2,49,0.000941789029101662,COMPLETE
73,0.8585858941078186,2024-09-12 09:03:09.516885,2024-09-12 09:06:01.105949,0 days 00:02:51.589064,28,0.2,47,0.0011840475840136043,COMPLETE
74,0.8252525329589844,2024-09-12 09:06:01.106952,2024-09-12 09:08:01.128811,0 days 00:02:00.021859,28,0.2,48,0.0035910121501506478,COMPLETE
75,0.8424242734909058,2024-09-12 09:08:01.130101,2024-09-12 09:10:52.763320,0 days 00:02:51.633219,28,0.2,43,0.0006159867628330355,COMPLETE
76,0.7868687510490417,2024-09-12 09:10:52.764347,2024-09-12 09:13:43.611978,0 days 00:02:50.847631,28,0.2,46,0.0004074271229079715,COMPLETE
77,0.8646464943885803,2024-09-12 09:13:43.611978,2024-09-12 09:16:35.159431,0 days 00:02:51.547453,28,0.2,49,0.0019032643343986392,COMPLETE
78,0.8555555939674377,2024-09-12 09:16:35.160436,2024-09-12 09:19:26.122619,0 days 00:02:50.962183,28,0.2,49,0.0008273511701888962,COMPLETE
79,0.8474748134613037,2024-09-12 09:19:26.123605,2024-09-12 09:22:17.433044,0 days 00:02:51.309439,28,0.2,47,0.0023481446042946936,COMPLETE
80,0.15656566619873047,2024-09-12 09:22:17.434037,2024-09-12 09:23:08.853869,0 days 00:00:51.419832,28,0.2,50,6.338597295588554e-05,COMPLETE
81,0.8787879347801208,2024-09-12 09:23:08.855291,2024-09-12 09:25:58.645005,0 days 00:02:49.789714,28,0.2,44,0.001965006674085291,COMPLETE
82,0.8737373948097229,2024-09-12 09:25:58.645005,2024-09-12 09:28:49.910815,0 days 00:02:51.265810,28,0.2,44,0.0018578420979451036,COMPLETE
83,0.8414141535758972,2024-09-12 09:28:49.911815,2024-09-12 09:31:23.995939,0 days 00:02:34.084124,28,0.2,44,0.004591434074393783,COMPLETE
84,0.8212121725082397,2024-09-12 09:31:23.997117,2024-09-12 09:33:58.000360,0 days 00:02:34.003243,28,0.2,48,0.0033835300682954054,COMPLETE
85,0.8525252938270569,2024-09-12 09:33:58.001363,2024-09-12 09:36:33.344465,0 days 00:02:35.343102,28,0.2,45,0.0017735457750482043,COMPLETE
86,0.862626314163208,2024-09-12 09:36:33.345465,2024-09-12 09:39:22.754880,0 days 00:02:49.409415,28,0.2,46,0.0012919802404577306,COMPLETE
87,0.8686869144439697,2024-09-12 09:39:22.755893,2024-09-12 09:41:56.000246,0 days 00:02:33.244353,28,0.2,49,0.002119983896492753,COMPLETE
88,0.8515151739120483,2024-09-12 09:41:56.000246,2024-09-12 09:44:45.634827,0 days 00:02:49.634581,28,0.2,42,0.0025048795316993124,COMPLETE
89,0.8616161942481995,2024-09-12 09:44:45.635845,2024-09-12 09:47:38.736809,0 days 00:02:53.100964,28,0.2,44,0.001038554043890229,COMPLETE
90,0.862626314163208,2024-09-12 09:47:38.743488,2024-09-12 09:50:28.498067,0 days 00:02:49.754579,28,0.2,47,0.0014118622392390162,COMPLETE
91,0.8666667342185974,2024-09-12 09:50:28.499080,2024-09-12 09:53:17.950556,0 days 00:02:49.451476,28,0.2,49,0.002048058680504403,COMPLETE
92,0.836363673210144,2024-09-12 09:53:17.951563,2024-09-12 09:55:51.216595,0 days 00:02:33.265032,28,0.2,45,0.003010998894421877,COMPLETE
93,0.8696970343589783,2024-09-12 09:55:51.216595,2024-09-12 09:58:23.903279,0 days 00:02:32.686684,28,0.2,50,0.0021172474180405636,COMPLETE
94,0.8818182349205017,2024-09-12 09:58:23.903279,2024-09-12 10:01:13.978488,0 days 00:02:50.075209,28,0.2,50,0.0020692252302653836,COMPLETE
95,0.8121212720870972,2024-09-12 10:01:13.978488,2024-09-12 10:03:48.457640,0 days 00:02:34.479152,28,0.2,50,0.005688155676823701,COMPLETE
96,0.8101010322570801,2024-09-12 10:03:48.458641,2024-09-12 10:06:37.901735,0 days 00:02:49.443094,28,0.5,48,0.004129439987344861,COMPLETE
97,0.8262626528739929,2024-09-12 10:06:37.901735,2024-09-12 10:08:39.938072,0 days 00:02:02.036337,16,0.3,47,0.0016781934892659465,COMPLETE
98,0.7262626886367798,2024-09-12 10:08:39.938072,2024-09-12 10:11:29.432172,0 days 00:02:49.494100,28,0.2,15,0.0027218839946390253,COMPLETE
99,0.8505051136016846,2024-09-12 10:11:29.433172,2024-09-12 10:14:18.622652,0 days 00:02:49.189480,28,0.2,43,0.0022403625988645873,COMPLETE
