number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_mlp_layers,params_num_rnn_layers,state
69,0.022485886616158603,2024-11-23 12:26:26.311547,2024-11-23 12:34:58.964446,0 days 00:08:32.652899,96,0.3,80,0.0008128445178305184,2,4,COMPLETE
70,0.022611717359284803,2024-11-23 12:34:58.965446,2024-11-23 12:45:45.198439,0 days 00:10:46.232993,16,0.2,112,0.000601231419727072,2,6,COMPLETE
71,0.022177317057874877,2024-11-23 12:45:45.199439,2024-11-23 12:55:24.296056,0 days 00:09:39.096617,16,0.2,48,0.0010972816905148004,2,3,COMPLETE
72,0.022248996530154816,2024-11-23 12:55:24.297056,2024-11-23 13:05:01.262806,0 days 00:09:36.965750,16,0.2,128,0.00032358287237743894,2,3,COMPLETE
73,0.022193643347316893,2024-11-23 13:05:01.262806,2024-11-23 13:13:40.539258,0 days 00:08:39.276452,16,0.2,80,0.0015346341382689677,2,1,COMPLETE
74,0.0222149674885594,2024-11-23 13:13:40.540258,2024-11-23 13:23:15.659575,0 days 00:09:35.119317,16,0.2,64,0.0007531184598052275,2,3,COMPLETE
75,0.022373016517835177,2024-11-23 13:23:15.659575,2024-11-23 13:31:52.550484,0 days 00:08:36.890909,96,0.2,48,0.00042828972081323976,2,4,COMPLETE
76,0.02258196865873745,2024-11-23 13:31:52.551484,2024-11-23 13:41:32.737803,0 days 00:09:40.186319,32,0.3,32,0.00022982107324292882,2,5,COMPLETE
77,0.02489065712085907,2024-11-23 13:41:32.738803,2024-11-23 13:49:57.584707,0 days 00:08:24.845904,80,0.2,80,9.479681807672448e-05,1,3,COMPLETE
78,0.022128890772784012,2024-11-23 13:49:57.584707,2024-11-23 13:59:19.821052,0 days 00:09:22.236345,16,0.1,64,0.0001599216989197484,2,2,COMPLETE
79,0.02248762331385399,2024-11-23 13:59:19.821052,2024-11-23 14:07:55.400517,0 days 00:08:35.579465,96,0.2,96,0.0012573792436446623,2,4,COMPLETE
80,0.023692344616106874,2024-11-23 14:07:55.400517,2024-11-23 14:16:56.702826,0 days 00:09:01.302309,64,0.3,80,0.0072206862173682254,2,5,COMPLETE
81,0.02252510488818651,2024-11-23 14:16:56.703826,2024-11-23 14:26:32.192969,0 days 00:09:35.489143,32,0.2,80,0.000976882624234493,2,5,COMPLETE
82,0.022443081233070757,2024-11-23 14:26:32.193969,2024-11-23 14:36:05.705247,0 days 00:09:33.511278,32,0.2,80,0.0006415817864087242,2,5,COMPLETE
83,0.023070890694604638,2024-11-23 14:36:05.705895,2024-11-23 14:45:53.396077,0 days 00:09:47.690182,32,0.2,80,0.000959410816206553,2,6,COMPLETE
84,0.022839592469812407,2024-11-23 14:45:53.396077,2024-11-23 14:55:27.939633,0 days 00:09:34.543556,32,0.2,80,0.002026676707755326,2,5,COMPLETE
85,0.021602392300290544,2024-11-23 14:55:27.940633,2024-11-23 15:04:22.760827,0 days 00:08:54.820194,32,0.2,64,0.0004746336358315973,2,3,COMPLETE
86,0.021953911706615575,2024-11-23 15:04:22.761827,2024-11-23 15:13:59.058483,0 days 00:09:36.296656,16,0.2,64,0.000494927616538032,2,3,COMPLETE
87,0.022197740784979526,2024-11-23 15:13:59.058483,2024-11-23 15:22:19.874414,0 days 00:08:20.815931,96,0.3,64,0.002455650796707028,2,3,COMPLETE
88,0.029007196410157945,2024-11-23 15:22:19.875413,2024-11-23 15:30:47.899489,0 days 00:08:28.024076,80,0.2,64,1.1991731221392332e-05,2,3,COMPLETE
89,0.021924114480892407,2024-11-23 15:30:47.900489,2024-11-23 15:40:21.993752,0 days 00:09:34.093263,16,0.2,64,0.00032863712083850587,2,3,COMPLETE
90,0.021966677141447156,2024-11-23 15:40:21.994752,2024-11-23 15:49:57.871875,0 days 00:09:35.877123,16,0.2,64,0.0003385309921371868,2,3,COMPLETE
91,0.021862775377782882,2024-11-23 15:49:57.871875,2024-11-23 15:59:33.849173,0 days 00:09:35.977298,16,0.2,64,0.00026645325188376465,2,3,COMPLETE
92,0.02195095840315623,2024-11-23 15:59:33.850173,2024-11-23 16:09:04.801899,0 days 00:09:30.951726,16,0.2,64,0.00019879031753530606,2,3,COMPLETE
93,0.02187187288734379,2024-11-23 16:09:04.802899,2024-11-23 16:18:37.621308,0 days 00:09:32.818409,16,0.2,64,0.00027687150173455276,2,3,COMPLETE
94,0.022221523884289645,2024-11-23 16:18:37.622308,2024-11-23 16:28:10.409025,0 days 00:09:32.786717,16,0.2,64,0.00014858643866270553,2,3,COMPLETE
95,0.021902459005040033,2024-11-23 16:28:10.410025,2024-11-23 16:37:44.062734,0 days 00:09:33.652709,16,0.2,64,0.00024909943372774325,2,3,COMPLETE
96,0.022009315263443036,2024-11-23 16:37:44.063734,2024-11-23 16:47:18.722437,0 days 00:09:34.658703,16,0.3,64,0.0005384121605661505,2,3,COMPLETE
97,0.021929618419382093,2024-11-23 16:47:18.723437,2024-11-23 16:56:53.603487,0 days 00:09:34.880050,16,0.2,64,0.00025859646978003805,2,3,COMPLETE
98,0.021916638700634115,2024-11-23 16:56:53.604487,2024-11-23 17:06:27.398196,0 days 00:09:33.793709,16,0.2,64,0.00023944313007511026,2,3,COMPLETE
99,0.022685313339684876,2024-11-23 17:06:27.399196,2024-11-23 17:16:00.996929,0 days 00:09:33.597733,16,0.2,64,0.0001019879378693134,2,3,COMPLETE
